stem,word
yowl,yowling
ebon,ebonize
entic,entice
cannon,cannoning
higgl,higgled
enquir,enquires
divulg,divulges
thwart,thwarting
superven,supervening
snack,snacking
skirmish,skirmishes
expand,expanding
black,blacks
whist,whists
arrog,arrogate
rodeo,rodeoing
misfir,misfires
swop,swopping
cycl,cycles
misfir,misfire
interior,interiorizes
premix,premixes
woodsh,woodsheds
pug,pugged
reinvest,reinvested
dramatis,dramatise
yawn,yawns
threaten,threatening
lute,lutes
wench,wenched
stymi,stymie
wrong,wrongs
satellit,satellite
huf,huffed
cock,cocks
regain,regained
roam,roamed
yawp,yawped
denud,denuding
coffeeh,coffeehoused
nation,nationalizes
shack,shacks
twit,twitting
crew,crewed
prototyp,prototype
thicken,thickening
tomb,tombs
flaunt,flaunting
miniaturis,miniaturised
forest,forested
exuvi,exuviated
premedit,premeditate
whiten,whitens
devour,devours
sluic,sluices
visit,visiting
ocher,ochered
brief,briefs
relativ,relativize
blood,blooding
kneecap,kneecapping
reclassifi,reclassify
interf,interfering
hurray,hurraying
clutch,clutching
remould,remoulded
discas,discasing
spacewalk,spacewalking
plaster,plastering
elev,elevated
blackbal,blackballing
blob,blobs
vivifi,vivify
yip,yipping
oppos,opposed
purpl,purples
plonk,plonking
botan,botanizes
malfunct,malfunctions
defil,defiling
interlac,interlaces
deputis,deputising
defil,defile
ping,pinged
snowboard,snowboarding
parent,parented
acetifi,acetifying
humour,humoured
imput,impute
delin,delineated
prepar,prepared
suburban,suburbanized
alterc,altercates
decoct,decocts
appear,appears
dye,dyes
palpit,palpitated
compil,compiles
robe,robed
unshackl,unshackled
snug,snugs
resuscit,resuscitate
overdub,overdubs
crush,crushes
buffer,buffered
tittiv,tittivates
lick,licking
natur,naturalizing
retest,retested
backtrack,backtracking
forgath,forgathering
recov,recovering
bustl,bustled
segment,segmented
emerg,emerging
eclips,eclipses
tabl,tabled
catch,catching
produc,produces
clunk,clunks
emplan,emplaned
disaffect,disaffects
theoriz,theorized
drizzl,drizzled
tree,treeing
supplic,supplicating
dissuad,dissuade
wrinkl,wrinkle
bespangl,bespangling
task,tasks
surfeit,surfeits
uproot,uprooted
misinform,misinforms
brad,bradded
muddl,muddle
leas,leasing
swill,swills
hiccup,hiccuping
wont,wonts
reconqu,reconquers
pop,popping
discont,discontent
crawfish,crawfishing
examin,examining
shingl,shingling
reconnoit,reconnoiters
instanc,instancing
philter,philtered
gulp,gulped
basifi,basifies
zero,zeroes
orphan,orphaned
enmesh,enmeshes
overproduc,overproduces
exacerb,exacerbated
wedg,wedged
protect,protects
tissu,tissues
fored,foredate
guy,guys
levit,levitate
unhar,unharnessing
grit,gritted
shrivel,shriveling
inher,inhere
command,commanded
barter,barters
catalog,catalogs
homolog,homologizing
spike,spiking
advanc,advance
reweav,reweaving
entail,entailed
reenforc,reenforced
muddl,muddling
stretch,stretched
enlac,enlace
bookmark,bookmarks
perenn,perennate
hunker,hunkered
imperil,imperilled
overreact,overreacts
ralli,rallying
saltat,saltating
coach,coaching
ferrul,ferruled
cicatr,cicatrizes
involv,involving
festoon,festooning
secret,secreted
straddl,straddles
hap,haps
assibil,assibilate
blip,blipped
recus,recusing
epitaph,epitaphing
revis,revises
bromin,brominating
survey,surveyed
trivial,trivialized
rejuven,rejuvenate
renam,renames
carni,carny
shower,showers
alin,alined
air,aired
vulcan,vulcanizes
squirt,squirting
accru,accrue
uppercut,uppercuts
mesmer,mesmerized
taint,taints
dread,dreads
bestialis,bestialises
suburban,suburbanizes
pep,pepping
foreswear,foreswearing
rewind,rewinding
wheedl,wheedle
tussl,tussling
conclud,concludes
pollut,pollutes
candi,candies
caucus,caucused
packag,packages
restat,restated
person,personalizes
tail,tails
loop,looping
signet,signets
wast,wastes
toadi,toadying
tablet,tablets
defog,defogged
scintil,scintillate
repress,repressed
chisel,chiseling
wager,wagers
toggl,toggles
benefic,benefices
lube,lubed
supersed,superseding
vaunt,vaunts
vision,visioned
mous,mouse
symmetr,symmetrizes
sunbath,sunbathing
quitclaim,quitclaimed
collogu,collogued
tooth,toothing
shrine,shrines
belch,belching
pronat,pronate
legitim,legitimizes
leash,leashed
conceal,concealing
frame,frames
dismantl,dismantled
unrol,unroll
skirt,skirting
levant,levanted
befool,befooled
spear,spearing
present,presented
reunifi,reunify
doll,dolled
bill,bills
denuclear,denuclearize
interlin,interlines
unstop,unstopping
reimburs,reimbursing
buck,bucked
crud,cruds
slogan,sloganeers
vitiat,vitiated
billet,billeting
smuggl,smuggling
blitzkrieg,blitzkrieged
mast,masting
chivvi,chivvied
exhaust,exhausted
troubl,troubled
output,outputs
thiev,thieves
flourish,flourishing
squirrel,squirrels
carri,carry
ope,opes
stucco,stuccoing
deodor,deodorized
daub,daubed
sulfat,sulfates
hogti,hogtie
damn,damns
redial,redialed
tabularis,tabularised
grain,grained
ideat,ideate
whore,whores
soar,soared
ashlar,ashlars
redissolv,redissolves
roughhous,roughhoused
discolor,discoloring
pshaw,pshawed
lighten,lightens
tallow,tallowed
breech,breeching
lightning,lightninged
overtrump,overtrumping
chaperon,chaperoning
reconvert,reconverting
allud,alluding
unbar,unbarred
aviat,aviates
refil,refiled
outpac,outpacing
tonsur,tonsuring
suck,sucked
desex,desexing
pace,paces
prototyp,prototyped
noodl,noodled
gawp,gawps
prosper,prospers
yacht,yachts
spang,spangs
plant,planting
row,rowed
veer,veering
prick,pricking
jerk,jerked
distress,distressing
retrac,retraced
watermark,watermarking
enshrin,enshrine
prefigur,prefiguring
macer,macerate
pure,puree
autopsi,autopsied
fret,fretting
sear,sears
arous,aroused
clew,clewing
retrofit,retrofitting
jingl,jingling
bedraggl,bedraggling
bous,bouse
unhing,unhinging
pamphlet,pamphleting
jape,japed
have,having
checker,checkered
cub,cubs
blueprint,blueprints
rendezvous,rendezvouses
kitten,kittens
abound,abounds
ruck,rucked
level,leveling
repossess,repossessing
elabor,elaborates
reinfect,reinfects
rib,ribbing
overdub,overdubbed
cabal,caballed
endang,endanger
flang,flange
shrill,shrilled
rearm,rearmed
transud,transude
wan,wans
scrape,scraping
deactiv,deactivated
uncork,uncorks
endear,endearing
vapour,vapouring
detrib,detribalizes
caseat,caseating
last,lasts
remix,remixed
shovel,shoveled
fantasi,fantasies
flood,flooded
devalu,devalues
misinform,misinformed
keynot,keynotes
mutini,mutinying
backslap,backslapped
piqu,piquing
elud,eluding
plagu,plagued
doodl,doodling
yearn,yearned
mistim,mistime
arous,arouse
glamor,glamorizing
wink,winking
skreigh,skreighed
surviv,survived
gossip,gossiping
practic,practices
textur,textures
signal,signalizing
pomad,pomades
record,recorded
stet,stetted
repres,representing
preordain,preordaining
misperceiv,misperceived
syllab,syllabicated
sue,sues
rins,rinse
helm,helming
empti,emptying
pinch,pinching
trifl,trifling
danc,dance
chink,chinked
confer,conferences
reeduc,reeducates
sop,sops
thrill,thrilling
assever,asseverating
gimp,gimping
audit,auditions
jinx,jinxes
joy,joys
hast,hastes
pursu,pursues
subcultur,subculturing
impair,impairs
leg,legs
tranc,trance
brattl,brattles
crick,cricking
mentor,mentored
screen,screening
assault,assaulting
epitaph,epitaphs
benefit,benefitted
purs,purse
inweav,inweaved
regurgit,regurgitated
insert,inserts
motorbik,motorbiked
towel,towelled
butterfli,butterfly
elev,elevating
corduroy,corduroys
bluster,blusters
equal,equalizing
enfeebl,enfeebles
opaqu,opaqued
hook,hooked
howl,howled
pin,pinned
prate,prated
hive,hives
redo,redoes
jeopard,jeopardizing
twin,twins
slipcov,slipcover
torment,torments
pend,pending
canvas,canvasing
giddi,giddied
kibitz,kibitzes
nurs,nursing
bumbl,bumbled
dethron,dethrones
submit,submits
coffer,coffering
jinx,jinxing
portag,portage
gulli,gullying
glissad,glissaded
enraptur,enrapturing
programm,programmes
disdain,disdains
enthron,enthrone
flunk,flunked
wreath,wreaths
emotion,emotionalize
backhand,backhanding
blasphem,blaspheme
smith,smiths
affili,affiliated
deifi,deifying
chirk,chirking
desalin,desalinated
endur,endures
taunt,taunting
palav,palavering
effemin,effeminate
vituper,vituperates
disadvantag,disadvantage
crenel,crenelling
fleet,fleets
disinherit,disinherits
extrapol,extrapolated
woodsh,woodshed
hearten,heartens
cu,cuing
endur,enduring
eye,eyed
crystal,crystallized
franchis,franchised
sewer,sewering
union,unionizing
census,censuses
outsel,outsell
bedazzl,bedazzles
esquir,esquiring
abas,abased
mussit,mussitate
multiplex,multiplexes
mytholog,mythologized
carpetbag,carpetbagged
heal,healing
detox,detoxicates
truckl,truckles
demagnet,demagnetized
flap,flapping
draught,draughting
ritual,ritualizes
clout,clouting
indent,indented
demon,demonized
gravel,gravelled
skyjack,skyjacking
devalu,devaluing
anathemat,anathematize
loom,looming
blueprint,blueprinted
beam,beaming
advantag,advantages
snub,snubs
vector,vectoring
wrack,wracks
backwash,backwashing
exculp,exculpates
inton,intoned
interced,interceded
benday,bendayed
frizzl,frizzles
vivifi,vivifies
detach,detaching
address,addresses
goof,goofs
pleat,pleated
mismanag,mismanages
bisect,bisecting
badinag,badinages
frank,franks
shirt,shirting
dynam,dynamize
flatten,flattens
award,awarded
dof,doffing
minist,ministered
unfrock,unfrocked
mutil,mutilate
elop,elopes
sass,sassing
stock,stocks
sizzl,sizzled
carboxyl,carboxylate
digit,digitizing
agit,agitates
grudg,grudged
respir,respiring
warbl,warbled
sandpap,sandpaper
adjust,adjusts
garner,garnered
patron,patronizes
disdain,disdained
sophist,sophisticate
bruis,bruise
puzzl,puzzles
roast,roasts
harmon,harmonize
scissor,scissored
brim,brimmed
complet,completing
tan,tanned
extrud,extruding
parad,paraded
catcal,catcall
declaim,declaims
destitut,destituted
oxygen,oxygenates
bedeck,bedecking
pedest,pedestal
interioris,interiorises
collud,colludes
skivvi,skivvied
repugn,repugns
lust,lusting
rival,rivaling
tassel,tasselled
quiesc,quiesces
pole,poling
windrow,windrowed
misreport,misreports
attitudin,attitudinize
rase,rased
investig,investigated
sho,shoed
joyrid,joyride
criticis,criticise
honor,honored
oblig,obligating
enlighten,enlightening
bob,bobbing
persev,persevered
hedgehop,hedgehopped
rubifi,rubified
necros,necrosed
trebl,treble
pulsat,pulsated
relinquish,relinquished
passag,passages
constip,constipates
implor,implore
honeycomb,honeycombs
bonk,bonked
kiln,kilned
cover,covers
savag,savaging
decis,decisions
unhand,unhanded
ebb,ebbs
max,maxing
brazen,brazening
resurrect,resurrected
remuner,remunerate
prevent,preventing
heliograph,heliographed
fluorid,fluoridized
larn,larned
intim,intimated
fillet,filleted
spool,spools
upthrust,upthrusts
unlac,unlaces
hilltop,hilltops
lard,lards
kip,kipped
raptur,rapture
rephras,rephrased
titter,tittering
waltz,waltzing
embrangl,embrangles
brandi,brandies
hous,housed
abat,abating
muster,mustered
underquot,underquoted
estat,estates
bald,balded
tie,tieing
accommod,accommodates
commune,communed
prevu,prevued
palatalis,palatalise
overgraz,overgrazed
grade,grades
flow,flowing
