conjugated,infinitive
extorts,extort
sweeped,sweep
ridded,rid
jammed,jam
cocooning,cocoon
feuds,feud
comminuting,comminute
dwelled,dwell
lacquers,lacquer
redrew,redraw
broughten,bring
burnished,burnish
forgotten,forget
depicted,depict
proverbed,proverb
donates,donate
shooting,shoot
smit,smite
disbars,disbar
knits,knit
hewed,hew
weaved,weave
overbidden,overbid
fractions,fraction
clapt,clap
ravaged,ravage
underpaid,underpay
candies,candy
reaved,reave
putting,put
abnegates,abnegate
overloads,overload
lynches,lynch
sunburnt,sunburn
underpays,underpay
relaying,relay
plumbed,plumb
ignited,ignite
undoes,undo
overlying,overlie
holding,hold
unquotes,unquote
hobs,hob
emcees,emcee
canning,can
cocooned,cocoon
aluminizes,aluminize
slept,sleep
ringing,ring
thriven,thrive
deputising,deputise
wrung,wring
longing,long
leet,let
thrives,thrive
tiring,tire
tearing,tear
hits,hit
fruited,fruit
wilt,will
pardoning,pardon
sewed,sew
dapples,dapple
waxed,wax
extending,extend
bespeaks,bespeak
outshining,outshine
breadboards,breadboard
incarnated,incarnate
hiccoughed,hiccough
burnt,burn
imposts,impost
gussies,gussy
skives,skive
glooms,gloom
creams,cream
inters,inter
panicking,panic
doth,do
diving,dive
saying,say
unwinding,unwind
eradicated,eradicate
refurnishes,refurnish
forsaken,forsake
dives,dive
niches,niche
racketeering,racketeer
refreshens,refreshen
clothing,clothe
endangered,endanger
overruns,overrun
disjoins,disjoin
mistreated,mistreat
swayed,sway
etching,etch
catnapping,catnap
prologizes,prologize
resets,reset
pleaded,plead
abnegating,abnegate
bombarding,bombard
blackballed,blackball
given,give
fueling,fuel
redoing,redo
flown,fly
dived,dive
overblew,overblow
proofreading,proofread
forecasting,forecast
went,go
outdone,outdo
underdrawn,underdraw
palpitates,palpitate
feels,feel
recasting,recast
overlaid,overlay
swum,swim
goes,go
aspersing,asperse
rended,rend
hitting,hit
shopped,shop
overbuilt,overbuild
rived,rive
lustres,lustre
learns,learn
frills,frill
missaid,missay
journaled,journal
done,do
swindles,swindle
forborne,forbear
retook,retake
canst,can
inbreeds,inbreed
underdressed,underdress
gets,get
psyched,psych
interleaving,interleave
graved,grave
refocusing,refocus
sang,sing
oversells,oversell
rumbled,rumble
reexplained,reexplain
prevaricates,prevaricate
interweaving,interweave
dares,dare
underran,underrun
streaks,streak
begot,beget
fuelled,fuel
fibrillating,fibrillate
resent,resend
crusting,crust
overwrites,overwrite
palsied,palsy
razed,raze
threw,throw
trammels,trammel
lying,lie
zincking,zinc
jolted,jolt
philandering,philander
ignites,ignite
luging,luge
zincing,zinc
jamming,jam
ingrafted,ingraft
wended,wend
began,begin
smells,smell
leaving,leave
frore,freeze
dared,dare
gasconading,gasconade
treads,tread
slobbered,slobber
humanizing,humanize
rang,ring
quitting,quit
struck,strike
raveled,ravel
craunches,craunch
captivating,captivate
acceding,accede
marshalling,marshal
bade,bid
ravelled,ravel
begotten,beget
beaten,beat
smashed,smash
remade,remake
been,go
rewinded,rewind
foreknew,foreknow
divagates,divagate
setting,set
thirsted,thirst
lisped,lisp
overbearing,overbear
sowed,sow
flouted,flout
forsakes,forsake
psyches,psych
fraternized,fraternize
chamfered,chamfer
mislays,mislay
lent,lend
graves,grave
quantifies,quantify
fuels,fuel
deals,deal
traffics,traffic
springing,spring
shrunk,shrink
retreads,retread
dressed,dress
undertaking,undertake
trammelling,trammel
alighting,alight
draws,draw
luges,luge
proverbs,proverb
undresses,undress
oversleeping,oversleep
willed,will
thrones,throne
befuddling,befuddle
deracinates,deracinate
withdraws,withdraw
pyramids,pyramid
flying,fly
oysters,oyster
mischosen,mischoose
growing,grow
paupered,pauper
clept,clepe
insetting,inset
becomes,become
sows,sow
foreseen,foresee
overwrote,overwrite
upsetting,upset
nomen,nim
overridden,override
idolizes,idolize
swept,sweep
swungen,swing
got,get
loans,loan
known,know
learning,learn
surplussed,surplus
resettled,resettle
militated,militate
reselling,resell
melts,melt
streaking,streak
coming,come
lazies,lazy
re-proved,re-prove
inputting,input
inciting,incite
tinkles,tinkle
unbinds,unbind
moved,move
sunk,sink
thinking,think
forbad,forbid
rumpling,rumple
undertakes,undertake
exuding,exude
susurrating,susurrate
withheld,withhold
embedding,embed
dialogued,dialogue
invalids,invalid
sheds,shed
operating,operate
wafering,wafer
righted,right
cartooned,cartoon
dresses,dress
fronting,front
worthen,worth
fitted,fit
hosts,host
sways,sway
lids,lid
catches,catch
making,make
upholden,uphold
antedating,antedate
overrode,override
hustles,hustle
lallygagged,lallygag
lipreading,lipread
withstood,withstand
buckles,buckle
outran,outrun
risen,rise
foredating,foredate
tiered,tier
fights,fight
eating,eat
overdrawn,overdraw
presetting,preset
benimmed,benim
misdoing,misdo
koshered,kosher
catnaps,catnap
undergotten,underget
journaling,journal
unloading,unload
hiccoughs,hiccough
whirred,whir
resettles,resettle
builds,build
disenabling,disenable
lathed,lath
installed,instal
dueling,duel
wooed,woo
predicted,predict
shearing,shear
outdoes,outdo
swollen,swell
ritualized,ritualize
thought,think
misleads,mislead
clocking,clock
buncoed,bunco
oversews,oversew
speaking,speak
bushelling,bushel
misknew,misknow
reboots,reboot
keeps,keep
luged,luge
slimes,slime
strove,strive
throning,throne
handwriting,handwrite
foresees,foresee
dialoguing,dialogue
talks,talk
arose,arise
digressed,digress
ritualizes,ritualize
shutting,shut
stomping,stomp
sanctions,sanction
inlaying,inlay
reaffirmed,reaffirm
unclad,unclothe
surtaxes,surtax
melted,melt
holden,hold
won,win
reproofs,reproof
fitting,fit
lands,land
forgetting,forget
brainwashes,brainwash
froren,freeze
letten,let
tabularised,tabularise
redraws,redraw
digressing,digress
philandered,philander
foreran,forerun
works,work
coveting,covet
buckling,buckle
duels,duel
girds,gird
shaven,shave
cranks,crank
warring,war
deracinated,deracinate
compelling,compel
relays,relay
pesters,pester
adzes,adze
shielded,shield
costed,cost
odorized,odorize
devitalizing,devitalize
foregone,forego
paralleling,parallel
wobbling,wobble
pots,pot
wast,be
shuts,shut
breaking,break
disenables,disenable
running,run
mislearned,mislearn
herded,herd
beheld,behold
refuges,refuge
accumulates,accumulate
relined,reline
cartooning,cartoon
overslipped,overslip
tinseling,tinsel
sewn,sew
lashing,lash
lustred,lustre
was,be
sanctioned,sanction
casting,cast
unlearning,unlearn
reintroduced,reintroduce
stripping,strip
outtold,outtell
fruits,fruit
garnishes,garnish
stinks,stink
blackballing,blackball
descries,descry
rending,rend
showing,show
shew,show
browsed,browse
leaching,leach
encroaches,encroach
enshrouded,enshroud
recasts,recast
prologized,prologize
accumulating,accumulate
beaching,beach
willing,will
kens,ken
trounced,trounce
could,can
daring,dare
undertook,undertake
stolen,steal
ceases,cease
bolsters,bolster
antics,antic
gone,go
goosing,goose
are,be
sworn,swear
holds,hold
comes,come
reweds,rewed
arises,arise
underbids,underbid
grossing,gross
overbuilding,overbuild
ordained,ordain
prepaid,prepay
kent,ken
notated,notate
worths,worth
fissured,fissure
undergirded,undergird
trod,tread
shining,shine
baptising,baptise
defames,defame
saws,saw
demobbing,demob
exceeded,exceed
environed,environ
interwoven,interweave
cashiering,cashier
grouped,group
spat,spit
shit,shite
befell,befall
croquets,croquet
brines,brine
deracinating,deracinate
sintering,sinter
spending,spend
ran,run
rotting,rot
shod,shoe
waxen,wax
illuminates,illuminate
shotten,shoot
rebates,rebate
smiting,smite
assumes,assume
fled,flee
inputted,input
underdrest,underdress
toys,toy
reaving,reave
pestering,pester
barricados,barricado
loaned,loan
refocused,refocus
devitalizes,devitalize
prescribing,prescribe
boycotting,boycott
plumbs,plumb
intriguing,intrigue
cartoons,cartoon
boycotts,boycott
burns,burn
invited,invite
redyed,redye
razes,raze
numb,nim
buzzed,buzz
luxuriated,luxuriate
wringing,wring
illuminating,illuminate
preachifying,preachify
overdriving,overdrive
shops,shop
colligating,colligate
overgrows,overgrow
chances,chance
shaken,shake
potting,pot
overdid,overdo
isolating,isolate
assents,assent
surpluses,surplus
had,have
curtails,curtail
forbade,forbid
baulked,baulk
slackened,slacken
underlain,underlie
grove,grave
worthing,worth
rights,right
fronted,front
cans,can
misshaped,misshape
bidded,bid
staining,stain
strid,stride
iteming,item
twists,twist
browsing,browse
factors,factor
strewing,strew
mizzling,mizzle
analysed,analyse
commiserates,commiserate
leaved,leave
overcasting,overcast
misgiving,misgive
leaping,leap
drug,drag
overdrawing,overdraw
hangs,hang
kraaling,kraal
accustoming,accustom
skiving,skive
yellowing,yellow
cropped,crop
swearing,swear
drunken,drink
swoll,swell
nicked,nick
befallen,befall
speeding,speed
writhing,writhe
microfilming,microfilm
twisting,twist
rids,rid
forms,form
siloed,silo
apportioned,apportion
pictures,picture
parches,parch
writhed,writhe
awaked,awake
palsying,palsy
bereaves,bereave
retakes,retake
hackneying,hackney
kidding,kid
melting,melt
quits,quit
spoilt,spoil
gargles,gargle
ridding,rid
filtering,filter
refreshening,refreshen
explicates,explicate
redeploys,redeploy
browbeaten,browbeat
undergirding,undergird
hands,hand
defecating,defecate
saith,say
bushels,bushel
bending,bend
slain,slay
winded,wind
buys,buy
abnegated,abnegate
inlays,inlay
misshaping,misshape
unquoting,unquote
would,will
knows,know
bloated,bloat
slides,slide
uplifting,uplift
knitting,knit
boughten,buy
twinkles,twinkle
drave,drive
